Date,Close,High,Low,Open,Volume
2/25/2021,1774.400024,1802,1766.699951,1801.5,1049
2/26/2021,1728.099976,1768.199951,1718.800049,1768.099976,1593
3/1/2021,1722.5,1747,1720.300049,1737.099976,407
3/2/2021,1733.099976,1733.099976,1708.699951,1709.400024,867
3/3/2021,1715.300049,1732.400024,1703.5,1730,501
3/4/2021,1700.199951,1717.400024,1700.199951,1706.5,521
3/5/2021,1698,1701,1685,1690.599976,302
3/8/2021,1677.699951,1705.400024,1673.699951,1704.699951,1290
3/9/2021,1716.599976,1717.5,1685.199951,1686.199951,335
3/10/2021,1721.5,1722.900024,1711,1713.599976,412
3/11/2021,1722.300049,1737.5,1720.199951,1725.599976,18
3/12/2021,1719.5,1722.5,1699,1715.900024,80
3/15/2021,1728.900024,1731.900024,1722.800049,1729.5,147
3/16/2021,1730.599976,1733.900024,1726,1732.300049,729
3/17/2021,1726.800049,1750.099976,1725.599976,1735.300049,488
3/18/2021,1732.199951,1750.300049,1721.800049,1745.800049,138
3/19/2021,1741.400024,1742.199951,1733.599976,1742.199951,13
3/22/2021,1737.800049,1737.800049,1737.800049,1737.800049,51
3/23/2021,1724.699951,1724.699951,1724.699951,1724.699951,6
3/24/2021,1732.900024,1732.900024,1727.5,1727.5,26
3/25/2021,1724.900024,1733.199951,1724.5,1732.699951,15
3/26/2021,1732.199951,1732.199951,1721.300049,1721.300049,33
3/29/2021,1712.099976,1712.099976,1712.099976,1712.099976,135457
3/30/2021,1683.900024,1712.599976,1676.5,1711,25316
3/31/2021,1713.800049,1713.800049,1676.5,1683.699951,762
4/1/2021,1726.5,1728.800049,1706.400024,1706.800049,720
4/5/2021,1727,1729.699951,1721.900024,1727.900024,275
4/6/2021,1741.5,1744.800049,1726.900024,1726.900024,890
4/7/2021,1740.099976,1742.699951,1733.699951,1742.699951,557
4/8/2021,1756.800049,1758,1734.599976,1736,1298
4/9/2021,1743.300049,1750.800049,1733.300049,1750.800049,484
4/12/2021,1731.199951,1740.800049,1726.699951,1740.800049,40
4/13/2021,1746.199951,1746.900024,1722.099976,1733.800049,367
4/14/2021,1734.900024,1745.900024,1732.699951,1741.300049,1037
4/15/2021,1765.400024,1767.900024,1740.099976,1740.099976,368
4/16/2021,1779,1779.5,1770.099976,1770.400024,625
4/19/2021,1769.400024,1788.5,1769.400024,1782.099976,144
4/20/2021,1777.300049,1777.300049,1765.5,1769.300049,1464
4/21/2021,1792.300049,1794.099976,1777.699951,1783,250
4/22/2021,1781.199951,1794.199951,1779.5,1794.199951,159
4/23/2021,1777,1794.5,1772,1786.099976,332
4/26/2021,1779.199951,1779.699951,1770.800049,1778,549
4/27/2021,1778,1782,1777.699951,1780,117
4/28/2021,1773.199951,1774,1764.599976,1768.199951,756
4/29/2021,1768.099976,1789,1758.599976,1781,196
4/30/2021,1767.300049,1771.800049,1763.900024,1771.800049,18
5/3/2021,1791.400024,1793,1788.5,1788.5,18
5/4/2021,1775.800049,1788.5,1774.800049,1788.199951,182
5/5/2021,1784.099976,1784.099976,1779.199951,1781.5,57
5/6/2021,1815.5,1815.5,1787.599976,1788.900024,13
5/7/2021,1831.099976,1842.900024,1831.099976,1842.900024,2
5/10/2021,1837.5,1845.599976,1835.400024,1835.599976,13
5/11/2021,1835.900024,1838.099976,1831.599976,1837.199951,420
5/12/2021,1822.599976,1825.199951,1821.699951,1825.199951,3
5/13/2021,1823.800049,1826.800049,1814.099976,1814.699951,100
5/14/2021,1837.900024,1842.900024,1824.5,1824.5,41
5/17/2021,1867.5,1867.5,1847.199951,1849.900024,13
5/18/2021,1867.800049,1870.5,1867.800049,1870.5,3
5/19/2021,1881.300049,1884.900024,1863.599976,1866.400024,348
5/20/2021,1881.800049,1885,1864.800049,1865.5,85
5/21/2021,1876.699951,1876.699951,1872.099976,1872.099976,5
5/24/2021,1884.599976,1884.599976,1882.099976,1882.099976,39
5/25/2021,1898.099976,1898.099976,1882.5,1882.5,56
5/26/2021,1901.300049,1901.300049,1901.300049,1901.300049,170526
5/27/2021,1895.699951,1903.900024,1888.199951,1896.800049,35794
5/28/2021,1902.5,1905.400024,1881.900024,1897.5,2415
